id,name,neighborhood,latitude,longitude,price
13153598,Spacious Beach House,Loma Portal,32.74495,-117.24472,299
13156901,Ocean View condo in Del Mar Ca. Min stay 7 days,Del Mar Heights,32.93773,-117.25731,357
13168417,Loft in the Heights,Memorial,32.70096,-117.13211,75
13168704,Breezy Craftsman Home in the Heart of North Park,North Hills,32.74575,-117.13209,250
13174149,Nice Place in Little Italy,Bay Ho,32.82036,-117.20767,110
13176583,Gorgeous Downtown Getaway,Horton Plaza,32.71354,-117.16568,145
13185793,Slice of Life - A block to the water!,Mission Bay,32.77153,-117.25145,119
13187211,HEART OF SAN DIEGO,West University Heights,32.75161,-117.15581,75
13189298,Nice private room with bathroom in Pacific Beach,Pacific Beach,32.79755,-117.23516,65
13192557,Furnished room in South Mission Beach - San Diego,Mission Bay,32.76754,-117.25154,55
13192599,Beach House at Mission Bay,Mission Bay,32.79289,-117.24449,189
13193310,Home away from home 2,Paradise Hills,32.67195,-117.06427,52
13193714,Comfy home away from home!,Paseo Ranchoero,32.62926,-117.00436,25
13193943,"Privt room in quiet beach cottage, no cleaning fee",Pacific Beach,32.80539,-117.24866,54
13206624,Sheila's Flip Flop Shack,Clairemont Mesa,32.82782,-117.19025,38
13207170,Great Sleep,Mission Bay,32.56618,-117.02301,70
13207607,"Quiet, Comfortable and Bright Home for You",Talmadge,32.75719,-117.09206,139
13208164,Bright & Cozy Room in the Heart of San Diego,Old Town,32.74349,-117.18493,65
13210700,Pacific Beach 4BD Family Friendly! 1 Block to Bay,Pacific Beach,32.79383,-117.24408,250
13213983,Spacious Gaslamp loft+parking walk to Convention,Gaslamp Quarter,32.71392,-117.15947,245
13218779,Casa De Glory,Midtown,32.73794,-117.17506,1500
13220187,❖ ❖   ❖ ❖,Mission Bay,32.78752,-117.25418,239
13224434,Private + Affordable Bedroom 7 Miles from Dowtown,Northwest,32.65167,-117.08351,69
13234391,Adorable Loft w/ Yard in Heart of North Park,North Hills,32.74813,-117.13518,149
13234860,Modern Cali Calm Suite Near All,Memorial,32.69873,-117.13741,65
13235257,LITTLE ITALY SAN DIEGO BALBOA PARK 2 BR HOUSE VIEW,Park West,32.73095,-117.16844,135
13236254,Ocean Front Suites-4007,Mission Bay,32.78974,-117.25455,300
13238042,721 Avalon Charming Beach Cottage with AC,Mission Bay,32.76182,-117.25162,400
13239029,"Comfortable BR in spacious home, minutes to beach",University City,32.85002,-117.21675,75
13239395,"Luxury, Private Yard, 2 blocks to Beach",Ocean Beach,32.74997,-117.2472,199
13240194,Ocean Front Suites-4001,Mission Bay,32.79024,-117.25468,300
13242164,Home Away from Home in the Gaslamp,Gaslamp Quarter,32.71372,-117.16039,149
13242292,"Modern 2bed2 bath with parking,walk to Convention.",Marina,32.7125,-117.16981,171
13244880,Grant's Cozy Getaway,Ocean Beach,32.75214,-117.25013,176
13247980,Cozy guest suite in custom home with views,Rancho Bernadino,33.03828,-117.07959,90
13248497,Redondo Retreat - 10 Yards From the Ocean!!,Mission Bay,32.78407,-117.25339,250
13249920,"1 Br Marina - close to convention center, Hyatt",Marina,32.71557,-117.17183,118
13250010,Sunny balcony on the edge of Balboa,Balboa Park,32.71797,-117.14452,85
13250572,Quail ST.  Room # 1,Mount Hope,32.71719,-117.11078,65
13264051,North Park Condo Close to Everything,City Heights West,32.75175,-117.12352,282
13268917,"Ocean View! Bright & Airy, Ocean Beach, Seaworld!",Loma Portal,32.75275,-117.23412,78
13272488,4 br Oasis close to Mission Bay/Sea World,Bay Park,32.78813,-117.19775,350
13277000,Canyon Serenity near downtown and Balboa Park,Midtown,32.73718,-117.16695,114
13277052,Ocean View 2 Bdrm Beach Condo in San Diego (PB),Pacific Beach,32.79627,-117.25693,260
13279141,Heart of North Park,North Hills,32.74856,-117.12825,59
13279751,"Central SD - Downtown, Balboa Zoo, Beaches + More",Memorial,32.70371,-117.13546,99
13279977,North park-Modern Very Large Apartment,North Hills,32.75293,-117.13893,90
13283085,RANCHODELREY IS EXCLUSIVE&SAFE NEIGHBOOR,Rancho Del Rey,32.64607,-117.02318,64
13283962,"Cozy, funky, quaint beach cottage!",La Jolla,32.81054,-117.25969,150
13284331,"Ecclectic, central house near barrio arts district",Grant Hill,32.70895,-117.13182,25
13289768,"Our home, your home",Normal Heights,32.76433,-117.11752,55
13293583,Remodeled and fully furnished,Pacific Beach,32.80329,-117.23472,100
13295452,"Spacious, Super Comfortable, Close to Everything",East Village,32.71356,-117.15815,150
13297590,Ocean Front Suites-4003,Mission Bay,32.78886,-117.25506,300
